comunas,homicidios,violaciones,psupond,x,OK,COD_COMUNA,distrito,Cook
Algarrobo,0,7.42280285,462.5651,Algarrobo,1,5602,7,3.85
Alhué,0,21.52389152,440.7417,Alhué,1,13502,14,1.735
Alto Biobío,0,0,422.4496,Alto Biobío,1,8314,21,-3.985
Alto Del Carmen,0,0,457.2273,Alto del Carmen,1,3302,4,-6.75
Alto Hospicio,2.029529657,19.28053174,453.4252,Alto Hospicio,1,1107,2,2.535
Ancud,0,23.73211192,486.6288,Ancud,1,10202,26,-2.505
Andacollo,0,12.04819277,452.6,Andacollo,1,4103,5,-7.57
Angol,0,23.40641336,475.4235,Angol,1,9201,22,-2.285
Antofagasta,0.791717579,12.93138712,508.1412,Antofagasta,1,2101,3,0.96
Antuco,0,0,456.5625,Antuco,1,8302,21,-3.985
Arauco,0,6.975770823,481.249,Arauco,1,8202,21,-3.985
Arica,2.256928771,23.13351991,472.9857,Arica,1,15101,1,-1.445
Aysén,0,11.0346857,492.3979,Aysén,1,11201,27,-3.075
Buin,2.694255847,25.59543054,474.7945,Buin,1,13402,14,1.735
Bulnes,0,18.44933352,460.3263,Bulnes,1,8402,19,-1.05
Cabildo,4.740684555,28.44410733,465.4032,Cabildo,1,5402,6,-2.38
Cabo De Hornos,0,0,485.7308,Cabo de Hornos,1,12201,28,-6.355
Cabrero,0,29.22742182,455.8591,Cabrero,1,8303,19,-1.05
Calama,4.026413271,13.42137757,499.8674,Calama,1,2201,3,0.96
Calbuco,2.786369082,0,472.8741,Calbuco,1,10102,26,-2.505
Caldera,0,13.06591755,479.7219,Caldera,1,3102,4,-6.75
Calera,0,10.86818701,480.4695,Calera,1,5502,6,-2.38
Calera De Tango,3.599582448,7.199164897,508.1849,Calera de Tango,1,13403,14,1.735
Calle Larga,0,0,478.8636,Calle Larga,1,5302,6,-2.38
Camarones,0,0,446,Camarones,1,15102,1,-1.445
Camiña,0,0,343.5,Camiña,1,1402,2,2.535
Canela,0,11.92748092,429.2784,Canela,1,4202,5,-7.57
Cañete,2.940916978,11.76366791,461.8651,Cañete,1,8203,21,-3.985
Carahue,0,11.78226377,451.8151,Carahue,1,9102,23,4.61
Cartagena,0,15.51169194,469.3005,Cartagena,1,5603,7,3.85
Casablanca,0,3.266159323,474.6708,Casablanca,1,5102,7,3.85
Castro,0,11.04504538,513.967,Castro,1,10201,26,-2.505
Catemu,0,14.98800959,446.9518,Catemu,1,5702,6,-2.38
Cauquenes,2.328126091,6.984378274,455.7564,Cauquenes,1,7201,18,0.165
Cerrillos,0,24.516564,497.6685,Cerrillos,1,13102,8,-2.565
